flight_date,from,to,avg_weeks,std_weeks
2013-01-22,ATL,MCO,10.3636363636,8.23202488858
2013-02-22,ATL,DEN,8.29411764706,5.54261564925
2013-01-31,ORD,EWR,8.93333333333,9.40719076533
2012-11-15,DFW,ORD,9.9,6.60860682826
2013-02-13,SEA,SFO,7.0,4.472135955
2013-02-06,SFO,DEN,10.5238095238,7.13876073012
2013-03-04,MIA,JFK,13.0,8.88350531416
2013-01-17,DTW,ATL,8.16666666667,6.22376848201
2012-12-20,SFO,JFK,18.4864864865,12.7771967488
2013-01-28,JFK,LAS,12.2272727273,10.1180264318
2012-12-25,DEN,LAX,15.0344827586,11.8908210657
2012-11-20,CLT,LGA,12.44,8.26680107418
2013-01-21,DEN,ORD,9.63157894737,7.15860419601
2013-01-10,PHL,MCO,13.0740740741,8.06190436524
2012-11-29,JFK,LAS,11.7826086957,8.06201261664
2012-12-13,LAX,ATL,10.7826086957,7.83904285518
2013-01-07,ORD,MSP,9.23529411765,9.41759929444
2013-01-19,ATL,LAX,13.3703703704,10.2249624718
2013-02-07,LAX,IAH,13.1739130435,11.332383902
2013-01-07,ATL,DTW,9.2,6.97816142276
2012-11-21,LAS,DEN,11.4090909091,8.15714171993
2013-02-16,ORD,PHX,9.27777777778,6.80661923127
2013-01-06,BOS,LGA,3.5,2.44948974278
2012-11-28,DFW,BOS,8.26666666667,8.85975383943
2013-01-01,LAX,BOS,13.6666666667,8.94857100754
2013-03-04,ATL,DTW,11.7777777778,10.8928230855
2013-02-18,ATL,BOS,12.3181818182,10.5034523288
2013-02-18,LAS,JFK,14.037037037,11.2266217999
2013-01-01,DFW,LGA,10.2727272727,7.63564210155
2012-12-27,LAX,IAH,14.8928571429,10.2463698566
2013-02-27,SFO,SEA,11.6,10.470007289
2012-11-25,SFO,ORD,10.3,7.63716673836
2013-01-08,ATL,MIA,11.2727272727,8.86502930558
2013-01-21,ATL,CLT,9.0625,8.18509824824
2013-01-02,DTW,LGA,9.84210526316,7.30496906903
2013-01-17,DEN,ATL,7.66666666667,6.05530070819
2012-12-23,LAX,DFW,14.36,10.9197069558
2013-01-20,ATL,LGA,8.29411764706,5.52001705027
2013-01-11,LAS,SFO,17.9142857143,13.1067369937
2012-12-15,DEN,ORD,11.4,7.56306816048
2013-01-18,LAX,ATL,14.1,9.3120241142
2012-11-16,ATL,PHL,9.85,6.49919023296
2012-12-08,LGA,BOS,3.0,2.82842712475
2013-01-05,DEN,PHX,13.0,12.4007168252
2013-01-08,SFO,BOS,10.3333333333,6.71813466174
2013-02-08,PHL,BOS,7.55555555556,8.79077799616
2013-02-15,CLT,LGA,9.0625,7.07548584904
2012-12-19,LGA,ORD,11.2777777778,10.7254812345
2013-01-22,DTW,ATL,8.94736842105,6.77801744375
2013-02-22,SEA,DEN,7.4,4.9106298694
2012-12-02,SFO,ORD,9.89473684211,7.22568517968
2013-01-21,DFW,BOS,9.83333333333,7.45377914413
2013-02-26,EWR,ORD,6.69230769231,5.03958687766
2012-11-22,DEN,DFW,9.63157894737,6.8411380333
2013-02-24,ATL,DEN,9.68421052632,8.83837988912
2012-12-17,PHL,ATL,10.1818181818,8.00378698246
2013-01-21,DFW,DEN,10.3333333333,6.80685928555
2012-12-26,ATL,LAX,16.1764705882,11.1231960423
2013-01-03,SFO,ORD,11.7142857143,9.80888809776
2012-12-08,ORD,MSP,12.6666666667,10.6973516972
2013-02-22,DEN,ATL,12.2,9.61687114015
2013-02-23,LGA,DFW,8.1875,5.94663770546
2013-01-25,EWR,SFO,13.5,11.3624496988
2012-11-29,ORD,SEA,12.7272727273,10.1097869517
2012-12-09,ORD,MSP,9.95238095238,7.98421060892
2012-11-21,SFO,JFK,16.935483871,11.9441351965
2013-01-14,BOS,SFO,10.0555555556,8.47468355975
2013-02-18,ORD,EWR,7.93333333333,6.40832791504
2013-01-07,SFO,DFW,9.7,9.13120733356
2013-02-09,SFO,JFK,11.6818181818,9.92057200557
2013-03-04,ORD,LAS,9.53333333333,8.77387898144
2013-02-22,DEN,LAX,10.2173913043,6.99971766794
2013-02-22,MIA,LGA,16.78125,12.0636333664
2013-02-02,DEN,ATL,10.6470588235,10.3678660803
2012-12-15,JFK,SFO,15.9,10.9398039445
2013-01-19,ATL,DTW,10.7142857143,7.41716156722
2013-02-13,LGA,CLT,7.66666666667,5.62731433871
2013-02-03,IAH,ORD,9.94736842105,6.76160470936
2012-12-16,LAX,LAS,15.9666666667,11.5444667544
2013-02-08,BOS,ORD,8.64705882353,5.98896043223
2013-02-07,ATL,ORD,10.4285714286,7.03968343444
2013-01-09,EWR,SFO,8.4375,5.94383434045
2012-12-29,SFO,ORD,18.25,14.4392084527
2013-02-04,DEN,ORD,9.44444444444,6.75819521872
2013-02-09,EWR,BOS,10.1538461538,11.2682899756
2013-03-03,LAX,LAS,11.0434782609,8.58369628407
2012-11-26,LAX,LAS,13.962962963,11.0156583709
2013-01-10,LGA,ORD,8.05882352941,5.15352534964
2013-02-24,DEN,DFW,8.22222222222,6.13145751366
2012-12-10,BOS,LGA,5.64285714286,4.19903180887
2013-02-25,ORD,IAH,6.07692307692,4.03033370127
2012-12-20,PHL,BOS,6.57142857143,6.16084766538
2012-12-24,PHX,ORD,12.3913043478,9.29681827506
2012-12-26,DFW,PHL,10.1052631579,7.57110542965
2012-11-28,ORD,BOS,10.6315789474,9.28685167509
2012-11-24,BOS,ATL,11.3636363636,7.89542033952
2013-02-13,LGA,BOS,4.77777777778,4.11636301174
2013-02-19,EWR,ORD,6.15384615385,5.55046775576
2012-11-29,LGA,CLT,8.88235294118,6.85458197979
2012-12-18,JFK,LAX,19.0,13.3315314098
2013-02-09,DFW,DEN,13.0454545455,11.1290151566
2012-12-21,ATL,DFW,12.8181818182,12.2109878842
2012-12-06,BOS,PHL,5.83333333333,4.19595765065
2012-12-10,ORD,IAH,10.0,8.94427191
2013-01-31,ATL,SFO,6.30769230769,4.44193305114
2013-02-07,ORD,PHL,6.0,3.89444048185
2012-12-18,PHX,DEN,9.31578947368,6.20082997652
2013-02-06,MSP,ATL,10.5454545455,7.81163523352
2013-02-21,LGA,CLT,7.07692307692,5.85180226457
2013-01-05,ATL,PHL,13.88,12.5143917151
2012-12-04,MSP,ORD,10.95,9.98143012641
2013-02-22,MSP,DEN,10.2,6.90232607627
2012-12-10,BOS,ORD,8.4,7.44311762637
2013-01-27,PHX,DEN,10.1363636364,7.03254647739
2012-12-23,LAX,JFK,21.9333333333,14.1812936966
2013-02-03,SEA,DEN,9.5,6.94728046665
2013-02-05,DFW,SFO,8.6,7.84492556643
2013-03-05,DEN,MSP,7.5,6.04788583531
2013-02-16,BOS,EWR,14.1052631579,13.0847440294
2012-12-18,SEA,ORD,10.1904761905,6.577378259
2013-02-14,LAX,DFW,9.78947368421,7.01252013163
2012-12-05,DEN,SFO,10.875,7.55451204076
2013-01-20,EWR,BOS,9.94444444444,8.79486629817
2012-12-11,DFW,PHL,9.41176470588,7.08924205689
2012-12-26,DEN,ATL,12.5217391304,11.5202176637
2013-01-05,ORD,DFW,11.5909090909,8.05728945862
2013-02-28,PHL,DFW,7.61538461538,7.47817336808
2013-02-16,BOS,LAX,14.3846153846,9.79010489454
2013-02-11,ORD,DEN,9.55555555556,6.92159640054
2013-01-10,LGA,DTW,9.52631578947,8.32244903227
2013-02-15,JFK,MIA,18.5,13.1982403519
2012-12-11,MIA,LGA,14.6666666667,11.8822727539
2012-12-07,DFW,LAX,12.56,9.51349918099
2013-02-20,BOS,SFO,9.73333333333,8.48079061903
2012-12-01,ORD,DFW,13.9565217391,12.8043964782
2012-12-18,DEN,ATL,9.27777777778,6.80661923127
2013-02-11,SFO,LAX,13.8275862069,9.6030834539
2013-03-01,ORD,SEA,7.0,5.49241901776
2013-01-07,DFW,LGA,8.25,6.0608030271
2013-02-15,IAH,LAX,14.9666666667,11.0218695871
2013-03-04,MSP,DEN,4.8,3.61478445646
2012-12-11,MCO,EWR,13.44,9.96694536957
2013-01-25,LAX,ORD,11.0,7.35494650526
2013-02-09,SFO,SEA,9.1875,7.43163283987
2013-01-09,EWR,ORD,7.33333333333,4.95215200936
2013-02-21,ATL,EWR,8.21428571429,6.80699381777
2012-12-31,IAH,LAX,15.0833333333,12.5556731216
2013-01-02,LAX,SFO,17.0,12.8314130668
2013-01-20,SEA,ORD,7.73333333333,5.65011588587
2013-03-02,SFO,DEN,18.1785714286,14.9519070292
2013-01-02,CLT,ATL,9.05555555556,6.05341150507
2012-12-30,ORD,SFO,15.7307692308,11.1733887154
2013-01-20,MCO,EWR,12.7083333333,8.99506708613
2012-11-21,ATL,DFW,10.3333333333,6.81420085801
2013-01-14,BOS,PHL,7.42857142857,5.52914356582
2013-03-03,ORD,DEN,7.28571428571,5.56677743304
2012-12-31,CLT,ATL,6.46153846154,4.53900474802
2012-11-29,SEA,SFO,7.29411764706,5.38243330059
2012-12-14,CLT,LGA,10.7272727273,6.86732649291
2012-12-07,ORD,BOS,10.5,7.69483764064
2012-12-09,MIA,LGA,17.8857142857,11.9527782362
2012-12-12,PHL,DFW,6.69230769231,4.88850037306
2013-02-10,SEA,SFO,8.13333333333,6.51225950109
2013-01-07,SEA,SFO,13.0869565217,11.8241395746
2012-11-23,MCO,ATL,12.5454545455,9.53053874821
2013-03-01,ORD,LAX,8.64705882353,6.29425508371
2012-11-17,ATL,LAX,14.6153846154,12.4613865138
2012-12-13,BOS,ORD,10.1578947368,7.81922955778
2012-12-16,ATL,DFW,8.4375,6.08789783094
2013-02-23,BOS,ATL,11.05,8.24285974903
2013-01-06,MCO,ATL,16.25,10.364330892
2013-01-16,SFO,BOS,9.77777777778,8.06995557649
2012-12-11,DFW,SFO,8.14285714286,8.43853015689
2013-02-23,DFW,LGA,10.4705882353,9.0837605584
2012-12-21,DFW,DEN,13.8148148148,9.33989390912
2013-01-15,JFK,MCO,16.4516129032,12.6855264237
2012-12-04,JFK,SFO,14.875,13.0694216631
2012-11-28,ATL,MIA,12.875,10.2588773858
2013-01-31,DEN,SEA,6.6875,4.89515066162
2013-02-25,ORD,DTW,7.53333333333,5.44933372948
2013-02-22,BOS,PHL,5.2,4.58984386082
2012-11-18,JFK,LAX,16.46875,12.0669753941
2012-12-13,SFO,ATL,7.8125,5.28165062583
2012-12-06,LAS,JFK,15.3793103448,11.2103708143
2013-01-30,BOS,ATL,12.8823529412,15.3699477591
2013-03-01,LAX,DFW,13.84,10.346819157
2013-02-16,ATL,DEN,10.5,7.86397515657
2013-02-01,MSP,ATL,10.0,8.59620479294
2012-12-19,SEA,LAX,13.5384615385,11.0606718394
2012-12-09,BOS,PHL,5.69230769231,4.80251002749
2012-12-03,LAX,LAS,14.5,11.4810633138
2013-02-25,JFK,LAS,9.44444444444,7.07291621546
2012-11-29,ATL,MSP,11.6956521739,9.27084767434
2012-12-28,LGA,ORD,11.0952380952,8.27589730425
2013-01-25,LGA,ATL,9.125,9.3514704726
2013-01-03,SEA,SFO,13.2857142857,9.62580306552
2013-01-03,ATL,LAX,17.2941176471,12.7695884269
2013-01-25,ORD,ATL,10.9523809524,9.2923419571
2013-01-24,BOS,SFO,11.4736842105,9.70892156188
2013-02-16,SFO,DEN,15.037037037,11.0922061393
2012-12-13,LGA,DFW,9.83333333333,7.98712198774
2013-01-02,LAX,JFK,20.3170731707,13.8517851275
2012-11-26,EWR,SFO,14.0869565217,12.7204668421
2013-01-18,MCO,PHL,15.1428571429,11.33566736
2013-01-08,SEA,DEN,10.95,8.91760529574
2013-02-07,LAS,SFO,11.1363636364,7.85157220862
2012-12-01,ORD,IAH,11.9,10.5775332912
2013-01-11,CLT,LGA,6.71428571429,4.49664099298
2012-12-10,EWR,LAX,13.380952381,11.0021642892
2013-02-20,LAS,JFK,12.3703703704,8.52213474587
2013-02-22,BOS,ORD,7.66666666667,5.7279598296
2013-01-07,MCO,ATL,12.75,10.7106204911
2012-11-22,SFO,DFW,8.78571428571,8.22920289091
2013-01-30,DFW,DEN,8.55555555556,5.43650214343
2012-12-27,ORD,BOS,13.5384615385,9.95682989402
2013-03-03,BOS,PHL,5.36363636364,4.05642027588
2013-01-23,LAX,LAS,13.6666666667,13.4250468922
2013-02-15,MSP,ORD,9.77777777778,8.01142974356
2013-01-13,LGA,DTW,11.0476190476,8.18826105151
2012-12-09,BOS,EWR,6.85714285714,4.60530033861
2012-12-20,DEN,ORD,12.652173913,10.0209267202
2013-01-12,PHX,DEN,10.7272727273,8.86502930558
2013-01-16,ORD,ATL,7.66666666667,5.43358164785
2013-01-01,ATL,PHL,7.8125,5.28165062583
2012-12-29,DFW,BOS,7.26666666667,4.83243012907
2012-12-23,BOS,SFO,10.0,5.62731433871
2013-01-12,DFW,ORD,9.65,6.17529031919
2012-11-22,LAS,DEN,8.52941176471,6.17573525034
2013-01-13,LAX,ATL,12.1538461538,8.86201921773
2012-12-09,LAX,ATL,13.7857142857,10.0898083631
2013-02-08,ORD,DEN,9.84210526316,6.99414960199
2012-12-23,ATL,MSP,13.08,10.2872088861
2013-01-03,DTW,ORD,6.9375,5.22135040004
2013-02-11,ATL,LGA,7.94117647059,6.43691102388
2012-12-12,DFW,PHL,8.0,8.80908621822
2012-12-22,ORD,DFW,14.4230769231,11.1970463138
2012-12-05,SFO,DFW,11.0555555556,10.9730805489
2013-01-16,DFW,ATL,7.94117647059,6.13871513669
2013-01-17,ATL,LGA,9.05555555556,6.19745889313
2012-12-18,DFW,LAX,13.037037037,9.45630225943
2013-01-06,PHL,DFW,8.05882352941,5.15352534964
2013-01-26,ORD,IAH,10.5555555556,7.9054874629
2012-12-04,DFW,LAX,12.5454545455,9.54551638817
2013-02-04,ATL,ORD,10.2352941176,8.17411625013
2013-02-09,DEN,PHX,8.65,6.00241179597
2013-01-11,ORD,ATL,10.2105263158,7.50243625149
2012-12-17,ORD,DEN,8.94444444444,6.15937565803
2013-03-01,CLT,LGA,7.9375,5.54338945652
2013-02-25,EWR,LAX,8.52941176471,5.60265168312
2013-02-22,SEA,SFO,9.3,6.93655458233
2013-02-12,PHL,ATL,9.11764705882,8.03805288099
2013-02-22,DFW,PHL,6.0,3.89444048185
2012-11-26,MSP,DEN,9.68421052632,6.53242027275
2013-01-28,ATL,ORD,7.4,5.24812891828
2013-01-28,BOS,LAX,7.8125,5.34438958161
2013-01-05,MIA,LGA,17.6060606061,11.5972501965
2012-12-11,DFW,LAS,11.5909090909,8.77582768263
2013-02-11,DFW,PHL,6.61538461538,5.2999758103
2013-02-26,LGA,DTW,6.53846153846,4.75421540347
2012-12-26,SEA,SFO,13.3043478261,11.5618289785
2013-01-13,LGA,MIA,14.4166666667,12.5244688047
2013-02-18,LGA,DFW,8.375,6.43816744113
2012-12-08,ATL,DFW,9.75,6.42261628933
2012-11-18,LAX,BOS,11.8571428571,10.1404423685
2012-12-05,LAX,IAH,12.7272727273,10.5432524944
2013-01-27,BOS,EWR,8.46666666667,6.45718499776
2012-11-19,SFO,DEN,9.63157894737,6.87354450303
2013-02-21,DFW,LGA,8.05555555556,6.40286904646
2012-11-16,PHL,ORD,10.619047619,7.33809369303
2013-03-05,ORD,PHL,8.125,5.53624421427
2013-01-27,JFK,LAX,17.5714285714,12.3557219759
2012-12-01,LGA,ATL,13.1304347826,10.1726207753
2012-11-17,SFO,DEN,11.3333333333,8.40436394579
2013-01-02,SEA,SFO,12.8333333333,10.3321644968
2013-01-08,ATL,PHL,7.875,6.56124988093
2013-01-05,ORD,PHX,11.2727272727,8.03078492387
2013-01-11,DEN,LAS,7.625,4.96487663492
2012-12-13,LGA,MIA,13.8636363636,11.8132107427
2013-02-11,BOS,SFO,7.42857142857,6.52467842667
2012-12-08,DEN,MSP,5.66666666667,3.91578004149
2012-11-18,DEN,SFO,11.6666666667,9.62462120467
2012-12-05,LAX,ATL,10.4761904762,9.76022052834
2013-01-16,DTW,ORD,5.45454545455,4.15604707297
2013-02-06,DEN,DFW,7.57142857143,5.93184736712
2013-01-26,SFO,BOS,12.0952380952,8.36005240357
2012-12-15,PHX,DEN,9.1,6.98042375429
2013-02-17,LAX,DFW,13.4,9.30949336251
2012-11-25,DTW,LGA,12.4,8.0104098938
2012-12-07,DFW,DEN,8.72222222222,5.71690532858
2012-12-24,DTW,ORD,9.14285714286,9.72591417777
2013-03-02,PHX,DEN,12.3181818182,9.99231306287
2013-02-07,PHX,DEN,9.11111111111,6.37909166398
2013-02-25,MSP,ATL,9.94444444444,8.14914085852
2012-12-06,ORD,EWR,8.13333333333,6.67475699576
2012-11-21,MSP,ORD,11.5714285714,10.2643627594
2012-11-30,ORD,EWR,11.0555555556,10.0964304829
2013-02-14,ORD,EWR,8.86666666667,8.50098033562
2013-01-12,PHX,ORD,13.1304347826,10.2038510904
2013-02-27,DFW,BOS,8.2,6.31551377844
2013-01-21,DTW,LGA,8.58823529412,5.92725509331
2013-01-18,LAX,IAH,11.2380952381,8.5959569677
2012-11-28,PHL,ATL,8.76470588235,6.95996957397
2012-12-22,BOS,PHL,9.8,8.41087731113
2013-01-11,DEN,LAX,17.9375,13.0407240547
2013-01-17,MSP,ATL,10.3333333333,8.59844947263
2013-02-28,EWR,LAX,11.7,10.0895986045
2013-03-01,ORD,LGA,8.58823529412,6.25558573926
2013-02-04,LAX,DEN,12.64,10.2464628043
2012-12-25,LAX,DEN,10.2272727273,7.96977515475
2013-01-12,JFK,LAX,20.0769230769,12.9439777002
2012-12-20,LAX,ORD,14.4137931034,10.373445637
2013-01-25,SFO,SEA,9.10526315789,5.80129043922
2013-02-20,PHL,DFW,7.0,6.96419413859
2012-12-11,ORD,EWR,9.1875,8.46340160141
2013-02-09,JFK,LAS,10.5909090909,8.41573973722
2012-12-22,LAX,IAH,17.0,10.9691649931
2013-01-01,BOS,EWR,9.05882352941,6.57143998903
2012-12-29,BOS,LAX,17.4333333333,12.95797806
2012-12-05,DEN,ORD,7.73333333333,5.99364743072
2013-03-04,LAX,DFW,11.3888888889,10.4607889079
2013-01-10,DFW,LGA,11.0952380952,9.64834059258
2012-12-25,SFO,ATL,9.55555555556,7.20475514726
2013-01-16,BOS,ORD,8.29411764706,5.48594460738
2012-12-02,ORD,IAH,8.84210526316,7.17451630499
2013-02-22,SEA,LAX,11.1304347826,8.51898600361
2012-11-16,SEA,SFO,13.92,10.4200127959
2013-02-28,JFK,MCO,11.05,9.47836872485
2013-03-04,BOS,PHL,3.5,2.44948974278
2012-11-25,SEA,LAX,11.05,9.99197046054
2012-12-05,ORD,DTW,6.8,5.77185288398
2012-11-15,SFO,JFK,13.2222222222,9.6250208125
2012-12-03,LGA,ORD,10.7368421053,8.62710267615
2013-01-28,DTW,LGA,8.6,10.5342977256
2013-02-26,DEN,SEA,10.15,7.05075583854
2012-12-18,LAX,SFO,17.0303030303,12.243582116
2013-01-28,ATL,LGA,11.5555555556,12.7980799213
2013-02-02,LAS,DFW,11.2857142857,8.69564751553
2012-12-18,BOS,LAX,13.25,10.1306680324
2012-12-31,LAX,SEA,13.7142857143,10.0769525922
2013-01-18,DTW,ORD,6.71428571429,4.49664099298
2012-11-15,LAX,IAH,13.4615384615,9.1092514258
2013-03-01,MCO,PHL,13.4444444444,8.70160609991
2013-02-09,LAX,SFO,11.2173913043,9.43858869332
2013-02-13,LAX,ATL,11.5238095238,10.1420858191
2013-02-15,PHX,DEN,9.22222222222,9.25810014531
2012-12-15,LGA,ORD,8.52941176471,6.26615559034
2012-12-01,SFO,EWR,12.7727272727,10.8405403932
2013-02-11,JFK,LAX,14.2307692308,12.8850539535
2012-12-19,ORD,LAS,12.6666666667,8.68114732282
2012-12-28,MSP,DEN,10.7142857143,7.91923517231
2013-03-04,MCO,EWR,12.1363636364,9.29052489442
2013-01-02,CLT,LGA,9.8,6.44490823094
2012-12-26,DTW,ATL,13.8571428571,10.2802013445
2013-01-18,MCO,ATL,12.2083333333,10.2786362091
2013-02-07,SEA,ORD,7.85714285714,6.54989304501
2012-12-30,LAX,SEA,14.5925925926,13.0745179622
2013-02-25,BOS,SFO,10.2222222222,8.67420486646
2013-01-05,LAS,ORD,12.9583333333,10.3817530842
2012-11-23,EWR,ATL,7.1875,6.15595917249
2013-01-27,LAX,EWR,11.9166666667,7.91210776439
2012-12-08,ATL,BOS,9.35294117647,7.79375692839
2013-01-10,JFK,LAX,20.5897435897,14.617433623
2012-11-23,LGA,BOS,3.33333333333,3.26598632371
2012-11-15,LAS,JFK,13.6,11.2989675045
2013-02-23,ORD,PHL,9.05882352941,6.8416974158
2013-02-03,DTW,LGA,5.78571428571,4.44069591616
2012-12-26,DEN,MSP,10.1363636364,7.52959528758
2013-01-23,PHL,BOS,8.78571428571,7.91472407244
2012-11-26,LAX,IAH,14.0769230769,9.48650863879
2012-11-17,ATL,LGA,12.8928571429,8.84156549618
2012-12-21,BOS,ORD,11.8260869565,8.22773675891
2013-02-10,PHL,BOS,8.13333333333,9.03854181244
2013-01-15,LGA,DTW,7.46666666667,5.18054970424
2013-01-04,PHL,MCO,14.2307692308,10.9665224837
2012-11-19,EWR,LAX,10.8181818182,6.96683547508
2013-02-25,BOS,PHL,6.5,7.22998805481
2012-12-15,LAX,EWR,15.6451612903,10.3038775455
2012-12-30,ATL,ORD,11.8181818182,8.94765925036
2013-02-14,LGA,ATL,11.9565217391,8.05931567628
2012-12-05,SFO,LAX,14.037037037,10.5045099526
2012-12-16,PHL,MCO,18.4848484848,13.4236759406
2013-01-26,LAX,SFO,16.9310344828,12.2909113764
2012-11-30,JFK,LAS,13.8846153846,10.6558037635
2012-12-26,LAX,IAH,13.9583333333,11.2770608515
2013-02-10,ORD,LAS,13.2307692308,9.26199845523
2012-12-31,MCO,ATL,12.44,9.29641507966
2012-11-16,LAX,BOS,14.24,10.7481781402
2013-02-19,BOS,PHL,6.69230769231,5.03958687766
2012-11-29,MCO,PHL,12.6153846154,9.46182613696
2012-12-10,DEN,SFO,13.3333333333,12.3625779404
2013-02-12,BOS,SFO,10.1764705882,9.44877832128
2013-01-23,EWR,SFO,9.1875,7.72199240266
2013-01-28,IAH,ORD,9.64705882353,8.03851025121
2012-12-05,SFO,JFK,12.5833333333,8.88534047532
2013-01-01,ATL,BOS,14.8461538462,11.109247707
2013-01-29,SFO,LAS,12.0454545455,8.93083088294
2013-01-26,DFW,LAS,9.11111111111,6.79869268479
2013-01-01,DEN,SFO,13.4814814815,10.7071879896
2012-12-19,LAS,ORD,13.375,9.86347015397
2012-12-22,SFO,LAX,20.85,14.278457864
2013-01-26,DFW,PHL,9.375,7.80491298265
2012-12-03,ORD,IAH,9.58823529412,7.9848201571
2013-02-03,LAX,BOS,10.0476190476,7.57942075937
2012-12-27,BOS,EWR,17.0666666667,13.2455153981
2012-12-16,LGA,CLT,11.6,8.16496580928
2013-01-09,DFW,LAX,13.3043478261,10.6618895759
2012-12-14,SEA,SFO,10.7826086957,7.86798184669
2012-12-09,LAX,DFW,15.1481481481,12.6025141072
2012-11-23,PHL,ORD,8.23529411765,5.37970040714
2013-01-23,LGA,ATL,11.0,11.4600756251
2012-12-20,DEN,MSP,9.68181818182,6.67893892083
2012-11-27,ORD,LGA,10.2380952381,8.60177168905
2012-12-20,ORD,MSP,14.1739130435,12.3201688813
2012-12-14,ORD,BOS,11.55,11.0523872153
2013-03-02,MCO,EWR,17.0,15.7241851935
2013-01-25,JFK,SFO,13.652173913,11.195001708
2012-12-21,SFO,EWR,12.5,8.52617453339
2012-11-20,SEA,ORD,15.0384615385,11.857422213
2013-01-25,DFW,DEN,10.45,6.96211552846
2013-02-04,LAS,DEN,12.037037037,7.87635937709
2012-12-31,ATL,CLT,6.26666666667,4.75795073935
2013-01-12,ORD,LGA,12.4761904762,10.9663988967
2013-01-12,DFW,PHL,7.64285714286,4.41339121062
2013-02-06,ATL,SFO,11.3684210526,9.10561808455
2013-01-01,ATL,LAX,10.9166666667,7.65515834424
2013-01-12,ORD,DFW,10.7368421053,9.76298056301
2013-01-07,EWR,ORD,9.55,6.00416522091
2012-11-24,PHL,DFW,10.95,8.87026374734
2012-12-03,SFO,ORD,10.1176470588,10.5586596743
2013-01-24,PHL,DFW,9.05882352941,6.53328581415
2012-12-19,DEN,PHX,12.6956521739,10.0065196139
2012-11-15,DFW,LAX,10.9090909091,8.92246544462
2013-01-04,JFK,LAS,15.6666666667,13.8773091824
2012-12-27,ORD,EWR,9.86363636364,6.97816632037
2013-02-11,LAX,SEA,11.3043478261,8.70963302958
2012-12-13,PHX,DEN,8.47368421053,6.23937693695
2012-12-29,DFW,DEN,14.16,10.8845456191
2012-12-10,ORD,SFO,8.66666666667,7.40429128356
2012-12-02,BOS,EWR,9.23529411765,7.52935431963
2013-01-07,MCO,EWR,16.3571428571,12.6468098326
2013-02-04,ORD,DTW,6.06666666667,4.36653943835
2012-11-18,ATL,MIA,11.9583333333,9.50276466255
2012-12-07,MSP,DEN,7.0,5.41602560309
